"wavelength_A","o5","a1","a5","b0","b6","f0","f5","g0","k0","k5","m0","m5"
4078,0.7975,0.7898,0.798,0.8066,0.844,0.8469,0.8333,0.8198,0.6765,0.4082,0.4106,0.4276
4079,0.7945,0.7885,0.8071,0.8015,0.8574,0.8724,0.8537,0.8322,0.7031,0.4398,0.4211,0.4232
4080,0.7936,0.7844,0.8286,0.7922,0.8727,0.8929,0.8673,0.8626,0.7261,0.4745,0.4324,0.4316
4081,0.7936,0.7803,0.8419,0.7821,0.8689,0.8878,0.8878,0.8891,0.7327,0.5082,0.4369,0.4522
4082,0.7928,0.7762,0.8394,0.7753,0.8498,0.8724,0.8741,0.9009,0.7354,0.5276,0.4429,0.4738
4083,0.794,0.7738,0.8342,0.7706,0.8326,0.8495,0.8759,0.8896,0.7367,0.5362,0.4519,0.4794
4084,0.7984,0.758,0.8235,0.7671,0.8195,0.8423,0.8694,0.8736,0.7486,0.5451,0.4658,0.4841
4085,0.8015,0.7435,0.8113,0.7664,0.8072,0.8469,0.8733,0.8604,0.7739,0.5515,0.4819,0.4719
4086,0.7963,0.72,0.803,0.7643,0.8,0.852,0.8852,0.8559,0.7926,0.5684,0.4924,0.4682
4087,0.7896,0.7065,0.7906,0.7593,0.7962,0.8699,0.8903,0.8784,0.7979,0.5903,0.5014,0.4794
4088,0.7869,0.7048,0.7748,0.7545,0.7962,0.875,0.9018,0.8986,0.8005,0.6122,0.4939,0.4906
4089,0.7892,0.6863,0.7533,0.7494,0.7847,0.8673,0.8895,0.9054,0.7965,0.6122,0.4924,0.4972
4090,0.794,0.6594,0.7334,0.7448,0.7771,0.8374,0.8839,0.8863,0.7872,0.6122,0.4815,0.4963
4091,0.7941,0.6259,0.7069,0.7379,0.7529,0.8128,0.8718,0.8644,0.7785,0.5989,0.4702,0.4896
4092,0.7876,0.6014,0.6829,0.7262,0.722,0.786,0.8576,0.8446,0.7716,0.5796,0.4582,0.4897
4093,0.7808,0.5888,0.6531,0.7177,0.6793,0.765,0.8503,0.8288,0.7583,0.5546,0.444,0.4897
4094,0.7781,0.5686,0.6217,0.7118,0.643,0.736,0.8231,0.8176,0.7394,0.5378,0.4297,0.4794
4095,0.7713,0.5484,0.5828,0.7025,0.6049,0.7003,0.7934,0.7995,0.7197,0.5194,0.4173,0.4663
4096,0.7591,0.4958,0.5418,0.6737,0.5589,0.6556,0.75,0.7669,0.7101,0.5041,0.4113,0.4611
4097,0.7334,0.4475,0.5025,0.6365,0.512,0.6116,0.7032,0.7331,0.6981,0.4923,0.4068,0.4597
4098,0.7151,0.3968,0.4545,0.6135,0.4706,0.5698,0.6755,0.7059,0.6879,0.4828,0.4075,0.4567
4099,0.6631,0.3533,0.3957,0.5755,0.4097,0.5,0.6054,0.6693,0.6596,0.4781,0.4091,0.4429
4100,0.6441,0.3364,0.3642,0.5654,0.3904,0.4643,0.5952,0.6433,0.6596,0.4694,0.4121,0.4532
4101,0.6387,0.3331,0.3775,0.5671,0.3981,0.4898,0.5782,0.6171,0.6596,0.4694,0.4113,0.4738
4102,0.6171,0.3533,0.404,0.5637,0.3981,0.5102,0.5986,0.6036,0.6702,0.4796,0.4233,0.4719
4103,0.6279,0.3566,0.4354,0.5552,0.4191,0.543,0.5952,0.6171,0.6848,0.4969,0.4324,0.4625
4104,0.6482,0.3907,0.4702,0.5705,0.4555,0.573,0.6293,0.6475,0.7061,0.5133,0.4459,0.4588
4105,0.6708,0.4281,0.515,0.617,0.5172,0.6358,0.687,0.6942,0.7235,0.5305,0.4572,0.466
4106,0.7077,0.4723,0.5455,0.6466,0.5627,0.6582,0.7211,0.7475,0.7304,0.5327,0.471,0.4775
4107,0.7226,0.5046,0.5791,0.6653,0.6081,0.7031,0.7517,0.7883,0.739,0.5393,0.4744,0.485
4108,0.7403,0.5332,0.608,0.6826,0.6431,0.7284,0.7585,0.7973,0.7477,0.5367,0.4661,0.5019
4109,0.7421,0.5669,0.6349,0.6932,0.6809,0.7589,0.7806,0.8063,0.7533,0.5357,0.4526,0.5037
4110,0.7501,0.5854,0.6606,0.7103,0.7196,0.7857,0.7993,0.8018,0.764,0.5347,0.4256,0.5001
4111,0.7517,0.6073,0.6805,0.7169,0.7433,0.8093,0.8248,0.8153,0.7773,0.5367,0.4173,0.4764
4112,0.7627,0.6245,0.6869,0.7189,0.7515,0.8132,0.867,0.8333,0.7995,0.5199,0.4219,0.4558
4113,0.7601,0.6729,0.7202,0.7173,0.773,0.8291,0.8878,0.8609,0.8258,0.5286,0.4378,0.4457
4114,0.7613,0.6813,0.7409,0.7205,0.7771,0.838,0.9082,0.8789,0.8165,0.5194,0.4399,0.4455
4115,0.762,0.6914,0.758,0.7237,0.7713,0.8431,0.915,0.8975,0.7926,0.5306,0.4472,0.4642
4116,0.7637,0.6947,0.7757,0.7245,0.7694,0.8482,0.9099,0.9144,0.7686,0.5224,0.4476,0.4731
4117,0.7647,0.7149,0.801,0.711,0.779,0.8571,0.9056,0.9279,0.766,0.5122,0.442,0.4766
4118,0.7679,0.738,0.8113,0.7063,0.7828,0.8648,0.8992,0.9248,0.768,0.5041,0.4504,0.4792
4119,0.7742,0.7576,0.7988,0.7201,0.7906,0.8692,0.8896,0.9167,0.7711,0.4791,0.4699,0.4837
4120,0.7767,0.7738,0.7881,0.7266,0.7971,0.8635,0.9014,0.9139,0.7686,0.4888,0.4886,0.4855
4121,0.774,0.7805,0.7848,0.7372,0.8029,0.8731,0.9007,0.9136,0.773,0.4847,0.4909,0.4892
4122,0.7676,0.7687,0.7873,0.7431,0.8,0.8712,0.8939,0.9123,0.7741,0.4929,0.4744,0.4925
