"wavelength_A","unknown1","unknown2","unknown3","unknown4","unknown5"
4143,0.7291,0.3532,0.832,0.8521,0.4427
4144,0.7291,0.3679,0.8381,0.8624,0.4666
4145,0.7312,0.3948,0.8441,0.8698,0.5076
4146,0.7365,0.4218,0.8654,0.8735,0.5324
4147,0.7435,0.4552,0.8808,0.8632,0.5438
4148,0.7452,0.4684,0.8753,0.8617,0.5515
4149,0.7457,0.4807,0.876,0.8565,0.5606
4150,0.7381,0.4819,0.8715,0.8513,0.5539
4151,0.7355,0.4772,0.8662,0.8499,0.553
4152,0.7362,0.4786,0.8495,0.858,0.5534
4153,0.7372,0.4758,0.8343,0.8572,0.5544
4154,0.7385,0.477,0.8141,0.8501,0.5593
4155,0.7376,0.4819,0.8138,0.8358,0.5668
4156,0.7386,0.4925,0.8168,0.8314,0.5821
4157,0.7443,0.5051,0.8343,0.8417,0.6011
4158,0.7452,0.5156,0.846,0.8397,0.6145
4159,0.7414,0.5285,0.854,0.8392,0.6293
4160,0.7372,0.5359,0.8656,0.838,0.6336
4161,0.7321,0.5579,0.885,0.8383,0.6458
4162,0.7324,0.569,0.9053,0.855,0.6374
4163,0.7348,0.5555,0.9049,0.858,0.6183
4164,0.7367,0.5224,0.9049,0.8528,0.5878
4165,0.7367,0.4966,0.8973,0.8491,0.5687
4166,0.7338,0.4758,0.8912,0.8491,0.5601
4167,0.7341,0.4631,0.884,0.8447,0.542
4168,0.7358,0.4611,0.8906,0.8371,0.548
4169,0.7422,0.4588,0.906,0.8388,0.5267
4170,0.7393,0.4494,0.8863,0.8388,0.5143
4171,0.7315,0.4323,0.8483,0.8432,0.5038
4172,0.7255,0.4139,0.8214,0.841,0.5
4173,0.7186,0.4071,0.7956,0.841,0.5062
4174,0.7231,0.4181,0.7925,0.8373,0.5148
4175,0.7308,0.4354,0.7983,0.8436,0.5293
4176,0.7456,0.4568,0.81,0.8291,0.5429
4177,0.749,0.4739,0.8163,0.8254,0.563
4178,0.7338,0.4979,0.8212,0.824,0.5802
4179,0.7291,0.5077,0.8279,0.8262,0.5802
4180,0.7272,0.5212,0.8267,0.8325,0.5611
4181,0.7262,0.5162,0.8292,0.8299,0.5458
4182,0.7355,0.5077,0.8107,0.8269,0.5416
4183,0.7319,0.5077,0.8244,0.8092,0.5391
4184,0.73,0.4966,0.8153,0.8107,0.5296
4185,0.7158,0.4856,0.8204,0.8225,0.52
4186,0.7101,0.466,0.8028,0.8284,0.5172
4187,0.7063,0.4611,0.7791,0.8269,0.5277
4188,0.7006,0.462,0.7792,0.824,0.5429
4189,0.6943,0.4771,0.8214,0.8124,0.5629
