Origin	MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
Simbad	Cl* NGC 2682    FBC    3134	*inCl	08 51 10.50	+11 47 09.1	320	280	94	 	 	 	 	 	16.878	16.313	15.668	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3137	*inCl	08 51 10.71	+11 54 33.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3139	*inCl	08 51 10.77	+11 53 26.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3143	*inCl	08 51 10.84	+11 41 24.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3145	*inCl	08 51 10.88	+11 57 09.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3151	*inCl	08 51 11.13	+11 37 40.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3153	*inCl	08 51 11.13	+11 41 53.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3154	*inCl	08 51 11.19	+11 45 39.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3160	*inCl	08 51 11.34	+11 40 00.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3165	*inCl	08 51 11.47	+11 47 10.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3167	*inCl	08 51 11.58	+11 48 42.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3173	*inCl	08 51 11.81	+11 55 34.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3187	*inCl	08 51 12.30	+11 58 50.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3190	*inCl	08 51 12.35	+11 53 36.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3194	*inCl	08 51 12.40	+11 52 55.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3197	*inCl	08 51 12.49	+11 47 06.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3200	*inCl	08 51 12.66	+11 39 36.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3201	*inCl	08 51 12.71	+11 48 06.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3206	*inCl	08 51 12.85	+11 49 50.0	300	300	6	 	 	19.8	 	18.1	16.408	15.557	15.847	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3207	*inCl	08 51 12.93	+11 51 52.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3209	*inCl	08 51 13.00	+11 47 16.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3215	*inCl	08 51 13.33	+11 57 52.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3218	*inCl	08 51 13.45	+11 39 37.3	300	300	6	 	 	16.6	 	15.4	14.026	13.525	13.377	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3219	*inCl	08 51 13.46	+11 46 15.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3223	*inCl	08 51 13.48	+11 44 25.3	190	160	11	 	 	 	 	 	16.506	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3225	*inCl	08 51 13.64	+11 37 05.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3226	*inCl	08 51 13.66	+11 50 37.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3232	*inCl	08 51 13.82	+11 54 13.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3237	*inCl	08 51 14.03	+11 51 28.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3241	*inCl	08 51 14.15	+11 42 02.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3242	*inCl	08 51 14.09	+11 54 21.1	230	230	0	 	 	 	 	 	16.638	 	15.556	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3244	*inCl	08 51 14.26	+11 47 13.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3245	*inCl	08 51 14.27	+11 42 40.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3257	*inCl	08 51 14.53	+11 46 42.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3261	*inCl	08 51 14.69	+11 45 23.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3262	*inCl	08 51 14.71	+11 48 50.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3264	*inCl	08 51 14.75	+11 53 06.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3269	*inCl	08 51 14.92	+11 39 32.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3273	*inCl	08 51 15.06	+11 48 52.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3280	*inCl	08 51 15.28	+11 54 02.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3292	*inCl	08 51 15.63	+11 42 29.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3294	*inCl	08 51 15.67	+11 54 13.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3295	*inCl	08 51 15.67	+11 40 41.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
