No	Ref	B	V
2601	1043	16.65	15.09
2602	132	17.12	15.49
2602	304	17.12	15.49
2644	25	11.76	11.03
2644	124	11.81	11.07
2644	144	11.86	11.09
2655	132	16.75	15.46
2665	25	12.19	11.36
2690	3	7.544	7.41
2690	25	7.55	7.42
2741	25	13.6	12.6
2741	132	13.66	12.65
2741	304	13.7	12.69
2786	25	10.91	10.31
2866	3	7.006	6.92
2866	25	7.02	6.93
2870	25	13.52	12.45
2870	132	13.52	12.51
2880	25	12.61	11.75
2881	25	12.43	11.48
2881	132	12.53	11.57
2881	312	12.54	11.56
2908	132	14.58	13.45
2908	1043	14.56	13.41
2927	25	15.17	13.92
2927	132	15.23	13.97
2927	271	15.12	13.87
2927	1051	15.14	13.8
2940	132	15.3	13.98
2966	132	16.36	14.86
2966	304	16.4	14.9
2984	25	13.37	12.37
2984	132	13.41	12.41
3010	186	6.95	6.79
3019	25	14.64	13.45
3019	132	14.74	13.53
3030	25	15.36	13.96
3030	132	15.46	14.08
3030	144	15.42	14.03
3030	1043	15.37	14.02
3031	3	9.194	8.81
3031	25	9.21	8.83
3034	25	12.22	11.76
3063	25	14.69	13.52
3063	132	14.71	13.54
3063	304	14.77	13.6
3063	1043	14.6	13.44
3063	2032	14.7	13.46
3065	1051	14.36	12.97
3069	25	14.97	13.85
3096	25	13.15	12.15
3096	132	13.02	12.09
3097	25	11.71	10.97
3104	25	14.7	13.41
3104	132	14.74	13.47
3122	25	12.65	11.92
3163	25	13.67	12.69
3163	132	13.78	12.77
3179	25	10.6	10.04
3187	25	14.28	13.12
3187	132	14.31	13.15
3187	271	14.38	13.18
3197	25	13.36	12.26
3197	132	13.17	12.1
3197	1051	13.19	12.04
3241	25	14.35	13.78
3301	25	10.06	9.55
3302	25	9.2	8.84
3303	25	9.69	9.19
3303	1044	9.76	9.23
3304	25	6.7	6.7
3305	25	7.13	7.09
3306	25	6.66	6.51
3306	1387	6.66	6.5
3307	25	7.34	7.26
3308	25	8.15	7.8
3309	25	9.6	9.16
3310	25	9.61	9.15
3311	25	10.37	9.83
3312	25	9.05	8.58
3313	25	10.41	9.84
3314	25	9.98	9.49
3315	25	9.59	9.11
3315	1044	9.63	9.13
3316	25	7.91	7.73
3317	25	8	7.81
3318	25	8.24	8.02
3318	720	8.27	8.05
3319	25	9.06	8.7
3320	25	8.56	8.3
3321	25	8.79	8.41
3321	1044	8.8	8.4
3322	25	7.9	7.72
3323	25	7.03	7
3324	25	10.07	9.55
3325	25	6.06	6.07
3325	1091	6.06	6.07
3326	25	10.14	9.64
3327	25	9.94	9.41
3328	25	7.8	7.64
3329	25	9.92	9.44
3329	851	9.92	9.44
3329	1044	9.93	9.45
3330	25	6.48	6.36
3330	686	6.46	6.34
3331	25	9.62	9.08
3332	25	9.5	9.07
3333	25	11.14	10.47
3334	25	8.59	8.33
3334	1044	8.62	8.34
3335	25	7.23	7.19
4011	124	16.78	15.65
4072	124	18.81	17.82
4183	124	17.58	16.59
4185	124	18.53	17.64
4189	124	18.42	16.5
4210	124	17.63	16.13
4242	124	19.58	18.42
4260	124	17.63	16.96
4307	124	19.045	17.225
4308	124	18.79	17.88
4311	124	17.96	16.26
4311	312	17.77	16.24
4330	124	18.46	18.18
4331	124	20.56	18.72
4334	124	17.8	17.08
5715	124	16.03	15.08
5728	124	17.625	16.105
5728	312	17.55	16.09
5928	124	14.8	13.77
5929	124	17.96	16.26
5929	312	17.72	16.16
6083	124	17.745	16.945
6381	124	16.88	15.34
7145	359	15.83	14.41
7490	359	15.94	14.51
7671	359	15.83	14.37
7709	359	16.1	14.61
7769	359	15.37	14.28
7775	359	15.74	14.32
8437	359	16.11	14.64
9003	124	17.47	15.83
9003	132	17.15	15.7
9003	312	17.35	15.75
9006	312	19.64	18.04
9010	132	16.88	15.39
9018	132	16.53	14.98
9023	132	18.81	17.02
9023	304	18.81	17.02
9023	312	18.77	17.09
9029	312	18.35	16.68
9035	132	15.7	14.24
9036	132	17.45	15.95
9040	312	17.97	16.37
9041	132	17.05	15.42
9041	312	17	15.43
9061	132	15.6	14.26
9069	312	17.79	16.15
9071	132	16.85	15.43
9078	132	16.77	15.3
9083	132	16.82	15.25
9086	132	17.06	15.47
9086	312	16.89	15.39
9087	132	16.01	14.57
9090	312	18.1	16.58
9092	132	17.74	16.26
9092	312	17.74	16.26
9095	132	16.27	14.84
9099	132	16.13	14.63
9102	312	18.72	17.17
9105	132	17.25	15.75
9105	312	17.18	15.73
9108	132	14.6	13.29
9115	132	16.93	15.44
9117	312	18.54	17.02
9119	312	18.95	17.67
